"","Address","Date.time","Minimum.Temperature","Maximum.Temperature","Temperature","Dew.Point","Relative.Humidity","Heat.Index","Wind.Speed","Wind.Gust","Wind.Direction","Precipitation","Precipitation.Cover","Snow.Depth","Visibility","Cloud.Cover","Sea.Level.Pressure","Weather.Type","Latitude","Longitude","Resolved.Address","Info"
"1","bronx, ny","01/01/2009",15.7,25.6,20.9,2.1,44.31,NA,21.9,39.1,300.21,0,8.33,NA,10,NA,1022.3,"",40.82601,-73.92309,"bronx, ny",NA
"2","bronx, ny","01/02/2009",23.5,34,30.7,17.2,58.49,NA,15.3,NA,234.87,0,0,NA,9.3,NA,1013.4,"Light Snow",40.82601,-73.92309,"bronx, ny",NA
"3","bronx, ny","01/03/2009",30.4,38.2,33.6,16.1,49.2,NA,18.1,34.4,286.08,0,0,NA,10,NA,1014.3,"",40.82601,-73.92309,"bronx, ny",NA
"4","bronx, ny","01/04/2009",25.6,41.5,33.3,11.6,41.09,NA,16.2,30,278.83,0,0,NA,10,NA,1017.9,"",40.82601,-73.92309,"bronx, ny",NA
"5","bronx, ny","01/05/2009",39.4,43,41.6,23.8,49.63,NA,12.3,NA,281.5,0,0,NA,10,NA,1014.1,"",40.82601,-73.92309,"bronx, ny",NA
"6","bronx, ny","01/06/2009",30.7,38.2,33.5,10.2,40.35,NA,11.1,NA,119.92,0,12.5,NA,9.6,NA,1016,"Ice, Light Snow, Rain, Light Rain, Light Freezing Rain",40.82601,-73.92309,"bronx, ny",NA
"7","bronx, ny","01/07/2009",31.1,38.2,35.5,32.6,89.23,NA,19.2,30,126.5,1.2,87.5,NA,6.1,NA,994.9,"Mist, Rain, Light Rain, Light Freezing Rain",40.82601,-73.92309,"bronx, ny",NA
"8","bronx, ny","01/08/2009",30.4,37.9,35.4,21.2,56.44,NA,19.6,40.3,255.83,0,0,NA,10,NA,997.3,"Light Snow, Light Rain",40.82601,-73.92309,"bronx, ny",NA
"9","bronx, ny","01/09/2009",26.5,32.5,29.1,12.9,50.41,NA,17,34.4,288.29,0,0,NA,10,NA,1015.3,"",40.82601,-73.92309,"bronx, ny",NA
"10","bronx, ny","01/10/2009",24.7,28.9,26.3,16.5,67.17,NA,14.3,NA,183.64,0.1,33.33,1.2,7.2,NA,1022.8,"Light Snow, Mist, Fog, Smoke Or Haze, Light Freezing Rain, Snow",40.82601,-73.92309,"bronx, ny",NA
"11","bronx, ny","01/11/2009",25.6,30.8,28.6,22,76.76,NA,13.5,NA,253.62,0.2,25,1.2,8.8,NA,1012,"Mist, Rain, Freezing Drizzle/Freezing Rain, Light Rain, Light Freezing Drizzle/Freezing Rain, Light Freezing Rain",40.82601,-73.92309,"bronx, ny",NA
"12","bronx, ny","01/12/2009",21.8,32.5,27.2,14.7,59.63,NA,12.8,NA,290.39,0,0,NA,10,NA,1021.2,"",40.82601,-73.92309,"bronx, ny",NA
"13","bronx, ny","01/13/2009",29.5,39.7,35.4,23.3,61.08,NA,12.8,NA,206.83,0,0,NA,10,NA,1017.5,"",40.82601,-73.92309,"bronx, ny",NA
"14","bronx, ny","01/14/2009",17.5,36.2,23.2,4.1,43.86,NA,17.7,41.4,293.09,0,0,NA,10,NA,1017.1,"",40.82601,-73.92309,"bronx, ny",NA
"15","bronx, ny","01/15/2009",16,22.1,19,7.4,60.91,NA,12.7,NA,188.21,0,20.83,1.2,7.9,NA,1023.2,"Heavy Snow, Light Snow, Mist",40.82601,-73.92309,"bronx, ny",NA
"16","bronx, ny","01/16/2009",10.6,17,13.8,-2.8,47.41,NA,13.8,NA,280.62,0,0,1.2,10,NA,1032.2,"",40.82601,-73.92309,"bronx, ny",NA
"17","bronx, ny","01/17/2009",7.3,21,13.4,-3,47.52,NA,10.6,NA,242.04,5.8,62.5,NA,10,NA,1032.1,"",40.82601,-73.92309,"bronx, ny",NA
"18","bronx, ny","01/18/2009",21.7,33.7,28.5,21.6,76.02,NA,10.3,NA,131.61,4.9,83.33,1.2,6.4,NA,1014.7,"Light Snow, Mist, Fog, Snow",40.82601,-73.92309,"bronx, ny",NA
"19","bronx, ny","01/19/2009",26.5,32.5,29.4,25,83.88,NA,8.9,NA,240.11,0,20.83,3.9,5.6,NA,1004.6,"Mist, Light Snow, Fog, Snow",40.82601,-73.92309,"bronx, ny",NA
"20","bronx, ny","01/20/2009",20.5,28.9,24.7,13.6,62.69,NA,12.3,NA,284.42,0.1,4.17,3.9,10,NA,1005.2,"",40.82601,-73.92309,"bronx, ny",NA
"21","bronx, ny","01/21/2009",17.9,26.5,21.8,6.4,52.06,NA,13.1,NA,291.67,0,0,3.1,10,NA,1012.3,"",40.82601,-73.92309,"bronx, ny",NA
"22","bronx, ny","01/22/2009",21.4,36.8,29.2,13.9,52.62,NA,13.4,NA,251,0,0,2,10,NA,1015.4,"",40.82601,-73.92309,"bronx, ny",NA
"23","bronx, ny","01/23/2009",30.7,45.5,39,22.7,52.52,NA,11.2,NA,198.04,0,0,2,9.8,NA,1013.5,"",40.82601,-73.92309,"bronx, ny",NA
"24","bronx, ny","01/24/2009",18.2,46.6,33.3,13.1,43.01,NA,20.3,33.3,290.54,0,0,1.2,10,NA,1015.9,"",40.82601,-73.92309,"bronx, ny",NA
"25","bronx, ny","01/25/2009",14.5,26.5,20.8,1.3,42.6,NA,11.5,NA,284,0,0,NA,10,NA,1026.6,"",40.82601,-73.92309,"bronx, ny",NA
"26","bronx, ny","01/26/2009",19.6,29.2,24.4,5.2,44.68,NA,9.7,NA,282.46,0,0,NA,10,NA,1029.2,"",40.82601,-73.92309,"bronx, ny",NA
"27","bronx, ny","01/27/2009",26.2,29.5,27.7,6.4,40.28,NA,9.2,NA,210.92,0,0,NA,10,NA,1030.7,"",40.82601,-73.92309,"bronx, ny",NA
"28","bronx, ny","01/28/2009",24.4,40.5,32.6,27.6,83.28,NA,17.7,41.4,131.96,1,83.33,2,4,NA,1012.6,"Light Snow, Mist, Light Drizzle, Rain, Fog, Light Rain, Smoke Or Haze, Light Freezing Rain, Snow",40.82601,-73.92309,"bronx, ny",NA
"29","bronx, ny","01/29/2009",26.5,36.2,30.6,15.1,52.25,NA,16.9,36.9,277.75,0,0,1.2,10,NA,1012.8,"",40.82601,-73.92309,"bronx, ny",NA
"30","bronx, ny","01/30/2009",28.6,34.3,31.4,18.7,59.23,NA,15,NA,247.39,0,0,NA,9.3,NA,1012.6,"Light Snow, Smoke Or Haze",40.82601,-73.92309,"bronx, ny",NA
"31","bronx, ny","01/31/2009",20.5,27.2,24.7,7.1,47.35,NA,15.9,30,276.88,0,0,NA,10,NA,1014.9,"",40.82601,-73.92309,"bronx, ny",NA
"32","bronx, ny","02/01/2009",26.9,51.7,39,19.5,45.53,NA,15.1,NA,229.58,0,0,NA,10,NA,1013.3,"",40.82601,-73.92309,"bronx, ny",NA
"33","bronx, ny","02/02/2009",36.2,52,43.9,27.4,53.63,NA,13.1,NA,121.73,0,0,NA,9.9,NA,1013.4,"",40.82601,-73.92309,"bronx, ny",NA
