"taxi","date.date.","passenger_count","trip_distance","fare_amount","surcharge","mta_tax","tip_amount","tolls_amount","total_amount","rides","file_name"
"FHV","2015-01-01",0,0,0,0,0,0,0,0,77789,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-02",0,0,0,0,0,0,0,0,61832,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-03",0,0,0,0,0,0,0,0,81955,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-04",0,0,0,0,0,0,0,0,62691,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-05",0,0,0,0,0,0,0,0,71063,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-06",0,0,0,0,0,0,0,0,81722,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-07",0,0,0,0,0,0,0,0,93090,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-08",0,0,0,0,0,0,0,0,103978,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-09",0,0,0,0,0,0,0,0,100710,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-10",0,0,0,0,0,0,0,0,103838,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-11",0,0,0,0,0,0,0,0,80717,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-12",0,0,0,0,0,0,0,0,87703,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-13",0,0,0,0,0,0,0,0,94221,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-14",0,0,0,0,0,0,0,0,94558,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-15",0,0,0,0,0,0,0,0,100055,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-16",0,0,0,0,0,0,0,0,105375,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-17",0,0,0,0,0,0,0,0,98951,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-18",0,0,0,0,0,0,0,0,96891,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-19",0,0,0,0,0,0,0,0,67340,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-20",0,0,0,0,0,0,0,0,83564,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-21",0,0,0,0,0,0,0,0,88385,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-22",0,0,0,0,0,0,0,0,95833,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-23",0,0,0,0,0,0,0,0,102677,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-24",0,0,0,0,0,0,0,0,103768,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-25",0,0,0,0,0,0,0,0,80802,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-26",0,0,0,0,0,0,0,0,64800,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-27",0,0,0,0,0,0,0,0,33171,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-28",0,0,0,0,0,0,0,0,88699,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-29",0,0,0,0,0,0,0,0,101071,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-30",0,0,0,0,0,0,0,0,117671,"fhv_tripdata_2015-01.csv"
"FHV","2015-01-31",0,0,0,0,0,0,0,0,121113,"fhv_tripdata_2015-01.csv"
"FHV","2015-02-01",0,0,0,0,0,0,0,0,103439,"fhv_tripdata_2015-02.csv"
"FHV","2015-02-02",0,0,0,0,0,0,0,0,96774,"fhv_tripdata_2015-02.csv"
"FHV","2015-02-03",0,0,0,0,0,0,0,0,105532,"fhv_tripdata_2015-02.csv"
"FHV","2015-02-04",0,0,0,0,0,0,0,0,102648,"fhv_tripdata_2015-02.csv"
"FHV","2015-02-05",0,0,0,0,0,0,0,0,117165,"fhv_tripdata_2015-02.csv"
"FHV","2015-02-06",0,0,0,0,0,0,0,0,123446,"fhv_tripdata_2015-02.csv"
"FHV","2015-02-07",0,0,0,0,0,0,0,0,110556,"fhv_tripdata_2015-02.csv"
"FHV","2015-02-08",0,0,0,0,0,0,0,0,89470,"fhv_tripdata_2015-02.csv"
"FHV","2015-02-09",0,0,0,0,0,0,0,0,92573,"fhv_tripdata_2015-02.csv"
"FHV","2015-02-10",0,0,0,0,0,0,0,0,97965,"fhv_tripdata_2015-02.csv"
"FHV","2015-02-11",0,0,0,0,0,0,0,0,106943,"fhv_tripdata_2015-02.csv"
"FHV","2015-02-12",0,0,0,0,0,0,0,0,117868,"fhv_tripdata_2015-02.csv"
"FHV","2015-02-13",0,0,0,0,0,0,0,0,136152,"fhv_tripdata_2015-02.csv"
"FHV","2015-02-14",0,0,0,0,0,0,0,0,130072,"fhv_tripdata_2015-02.csv"
"FHV","2015-02-15",0,0,0,0,0,0,0,0,116940,"fhv_tripdata_2015-02.csv"
"FHV","2015-02-16",0,0,0,0,0,0,0,0,99764,"fhv_tripdata_2015-02.csv"
"FHV","2015-02-17",0,0,0,0,0,0,0,0,102953,"fhv_tripdata_2015-02.csv"
"FHV","2015-02-18",0,0,0,0,0,0,0,0,104446,"fhv_tripdata_2015-02.csv"
"FHV","2015-02-19",0,0,0,0,0,0,0,0,123717,"fhv_tripdata_2015-02.csv"
"FHV","2015-02-20",0,0,0,0,0,0,0,0,138194,"fhv_tripdata_2015-02.csv"
"FHV","2015-02-21",0,0,0,0,0,0,0,0,124056,"fhv_tripdata_2015-02.csv"
